qid,question,answer
medquestions-500-0069,Is Bart-Pumphrey syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the condition. Other cases result from new mutations in the gene and occur in people with no history of the disorder in their family."
medquestions-500-0070,Is intrahepatic cholestasis of pregnancy inherited ?,"Susceptibility to intrahepatic cholestasis of pregnancy is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to increase the risk of developing the disorder. Some women with an altered gene do not develop intrahepatic cholestasis of pregnancy. Many other factors likely contribute to the risk of developing this complex disorder."
medquestions-500-0071,How to diagnose Chronic Fatigue Syndrome (CFS) ?,"Diagnostic Challenges
  
For doctors, diagnosing chronic fatigue syndrome (CFS) can be complicated by a number of factors:
  
   - There's no lab test or biomarker for CFS.
   - Fatigue and other symptoms of CFS are common to many illnesses.
   - For some CFS patients, it may not be obvious to doctors that they are ill.
   - The illness has a pattern of remission and relapse.
   - Symptoms vary from person to person in type, number, and severity.
  
  
These factors have contributed to a low diagnosis rate. Of the one to four million Americans who have CFS, less than 20% have been diagnosed.
  Exams and Screening Tests for CFS
  
Because there is no blood test, brain scan, or other lab test to diagnose CFS, the doctor should first rule out other possible causes.
  
If a patient has had 6 or more consecutive months of severe fatigue that is reported to be unrelieved by sufficient bed rest and that is accompanied by nonspecific symptoms, including flu-like symptoms, generalized pain, and memory problems, the doctor should consider the possibility that the patient may have CFS. Further exams and tests are needed before a diagnosis can be made:
  
   - A detailed medical history will be needed and should include a review of medications that could be causing the fatigue and symptoms
   - A thorough physical and mental status examination will also be needed
   - A battery of laboratory screening tests will be needed to help identify or rule out other possible causes of the symptoms that could be treated
   - The doctor may also order additional tests to follow up on results of the initial screening tests
  
  
A CFS diagnosis requires that the patient has been fatigued for 6 months or more and has 4 of the 8 symptoms for CFS for 6 months or more. If, however, the patient has been fatigued for 6 months or more but does not have four of the eight symptoms, the diagnosis may be idiopathic fatigue.
  
The complete process for diagnosing CFS can be found here.
  
Additional information for healthcare professionals on use of tests can be found here."
medquestions-500-0072,What are the symptoms of Salcedo syndrome ?,"What are the signs and symptoms of Salcedo syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Salcedo syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Glomerulopathy 90% Hematuria 90% Hypertension 90% Proteinuria 90% Renal insufficiency 90% Short stature 90% Abnormality of the skeletal system - Autosomal recessive inheritance - Nephropathy - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0073,How many people are affected by Lynch syndrome ?,"In the United States, about 140,000 new cases of colorectal cancer are diagnosed each year. Approximately 3 to 5 percent of these cancers are caused by Lynch syndrome."
medquestions-500-0074,What is (are) Flu ?,"Flu is a respiratory infection caused by a number of viruses. The viruses pass through the air and enter your body through your nose or mouth. Between 5% and 20% of people in the U.S. get the flu each year. The flu can be serious or even deadly for elderly people, newborn babies, and people with certain chronic illnesses.    Symptoms of the flu come on suddenly and are worse than those of the common cold. They may include        - Body or muscle aches    - Chills     - Cough     - Fever     - Headache     - Sore throat        Is it a cold or the flu? Colds rarely cause a fever or headaches. Flu almost never causes an upset stomach. And ""stomach flu"" isn't really flu at all, but gastroenteritis.    Most people with the flu recover on their own without medical care. People with mild cases of the flu should stay home and avoid contact with others, except to get medical care. If you get the flu, your health care provider may prescribe medicine to help your body fight the infection and lessen symptoms.     The main way to keep from getting the flu is to get a yearly flu vaccine. Good hygiene, including hand washing, can also help.    NIH: National Institute of Allergy and Infectious Diseases"
medquestions-500-0075,What causes Klinefelter syndrome ?,"What causes Klinefelter syndrome? Klinefelter syndrome usually occurs as a random event during the formation of reproductive cells (eggs and sperm). An error in cell division called nondisjunction results in a reproductive cell with an abnormal number of chromosomes. For example, an egg or sperm cell may gain one or more extra copies of the X chromosome as a result of nondisjunction. If one of these atypical reproductive cells contributes to the genetic makeup of a child, the child will have one or more extra X chromosomes in each of the body's cells. Most often, Klinefelter syndrome is caused by a single extra copy of the X chromosome, resulting in a total of 47 chromosomes per cell. Males normally have one X chromosome and one Y chromosome in each cell (46, XY), while females have two X chromosomes (46, XX). People with Klinefelter syndrome usually have two X chromosomes and one Y chromosome (47, XXY). Some people with Klinefelter syndrome have the extra X chromosome in only some of their cells; these people are said to have mosaic Klinefelter syndrome. It is estimated that about half of the time, the cell division error occurs during development of the sperm, while the remainder are due to errors in egg development. Women who have pregnancies after age 35 have a slightly increased chance of having offspring with this syndrome. The features of Klinefelter syndrome are due to the extra copies of genes on the extra X chromosome, which can alter male sexual development."
medquestions-500-0076,What are the treatments for Alkhurma Hemorrhagic Fever (AHF) ?,"There is no standard specific treatment for the disease. Patients receive supportive therapy, which consists of balancing the patient’s fluid and electrolytes, maintaining oxygen status and blood pressure, and treatment for any complications. Mortality in hospitalized patients ranges from 1-20%."
medquestions-500-0077,What are the treatments for primary macronodular adrenal hyperplasia ?,These resources address the diagnosis or management of PMAH:  - Eunice Kennedy Shriver National Institute of Child Health and Human Development: How Do Health Care Providers Diagnose Adrenal Gland Disorders?  - Eunice Kennedy Shriver National Institute of Child Health and Human Development: What are the Treatments for Adrenal Gland Disorders?  - Genetic Testing Registry: Acth-independent macronodular adrenal hyperplasia 2   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
medquestions-500-0078,What are the genetic changes related to Meige disease ?,"The cause of Meige disease is unknown. The condition is thought to be genetic because it tends to run in families, and other forms of primary lymphedema have been found to have a genetic cause. Researchers have studied many genes associated with the lymphatic system; however, no genetic change has been definitively found to cause the signs and symptoms of Meige disease."
medquestions-500-0079,What causes Hereditary spherocytosis ?,"What causes hereditary spherocytosis? Hereditary spherocytosis may be caused by mutations in any one of several genes. The mutations that cause the condition result in the formation of spherical, overly rigid, misshapen red blood cells. The misshapen red blood cells, called spherocytes, are removed from circulation and taken to the spleen for destruction. Within the spleen, the red blood cells break down (undergo hemolysis). The shortage of red blood cells in the blood circulation and the abundance of cells in the spleen are responsible for the signs and symptoms of this condition.  Mutations in the ANK1 gene are responsible for about half of all cases of hereditary spherocytosis. The other genes associated with hereditary spherocytosis account for a smaller percentage of cases and include the EPB42, SLC4A1, SPTA1, and SPTB genes."
medquestions-500-0080,Is Hereditary multiple osteochondromas inherited ?,"How is hereditary multiple osteochondromas inherited? HMO is caused by mutations in the EXT1 and EXT2 genes. It is inherited in an autosomal dominant pattern, which means that one copy of the altered gene in each cell is sufficient to cause this condition. In most cases, an affected individual inherits the mutation from one affected parent. Other cases result from new mutations in the gene and occur in people with no history of the condition in their family. Most affected individuals (96%) that have inherited a gene mutation from their parent show signs and symptoms of this condition. However, the family history may appear negative because of the failure to recognize the disorder in family members and/or reduced penetrance. Reports have suggested that some females may not show clinical features of HMO but still have the gene mutation that causes this condition."
medquestions-500-0081,What is the outlook for Infantile Spasms ?,"The prognosis for children with IS is dependent on the underlying causes of the seizures. The intellectual prognosis for children with IS is generally poor because many babies with IS have neurological impairment prior to the onset of spasms. Epileptic spasms usually reduce in number by mid-childhood, but more than half of the children with IS will develop other types of seizures. There appears to be a close relationship between IS and Lennox-Gastaut Syndrome, an epileptic disorder of later childhood."
medquestions-500-0082,What are the treatments for Atherosclerosis ?,"Treatments for atherosclerosis may include heart-healthy lifestyle changes, medicines, and medical procedures or surgery. The goals of treatment include:
                
Lowering the risk of blood clots forming
                
Preventing atherosclerosis-related diseases
                
Reducing risk factors in an effort to slow or stop the buildup of plaque
                
Relieving symptoms
                
Widening or bypassing plaque-clogged arteries
                
Heart-Healthy Lifestyle Changes
                
Your doctor may recommend heart-healthy lifestyle changes if you have atherosclerosis. Heart-healthy lifestyle changes include heart-healthy eating, maintaining a healthy weight, managing stress, physical activity and quitting smoking.
                
Heart-Healthy Eating
                
Your doctor may recommend heart-healthy eating, which should include:
                
Fat-free or low-fat dairy products, such as skim milk
                
Fish high in omega-3 fatty acids, such as salmon, tuna, and trout, about twice a week
                
Fruits, such as apples, bananas, oranges, pears, and prunes
                
Legumes, such as kidney beans, lentils, chickpeas, black-eyed peas, and lima beans
                
Vegetables, such as broccoli, cabbage, and carrots
                
Whole grains, such as oatmeal, brown rice, and corn tortillas
                
When following a heart-healthy diet, you should avoid eating:
                
A lot of red meat
                
Palm and coconut oils
                
Sugary foods and beverages
                
Two nutrients in your diet make blood cholesterol levels rise:
                
Saturated fatfound mostly in foods that come from animals
                
Trans fat (trans fatty acids)found in foods made with hydrogenated oils and fats, such as stick margarine; baked goods, such as cookies, cakes, and pies; crackers; frostings; and coffee creamers. Some trans fats also occur naturally in animal fats and meats.
                
Saturated fat raises your blood cholesterol more than anything else in your diet. When you follow a heart-healthy eating plan, only 5 percent to 6 percent of your daily calories should come from saturated fat. Food labels list the amounts of saturated fat. To help you stay on track, here are some examples:
                
1,200 calories a day
                
8 grams of saturated fat a day
                
1,500 calories a day
                
10 grams of saturated fat a day
                
1,800 calories a day
                
12 grams of saturated fat a day
                
2,000 calories a day
                
13 grams of saturated fat a day
                
2,500 calories a day
                
17 grams of saturated fat a day
                
Not all fats are bad. Monounsaturated and polyunsaturated fats actually help lower blood cholesterol levels. Some sources of monounsaturated and polyunsaturated fats are:
                
Avocados
                
Corn, sunflower, and soybean oils
                
Nuts and seeds, such as walnuts
                
Olive, canola, peanut, safflower, and sesame oils
                
Peanut butter
                
Salmon and trout
                
Tofu
                
Sodium
                
You should try to limit the amount of sodium that you eat. This means choosing and preparing foods that are lower in salt and sodium. Try to use low-sodium and no added salt foods and seasonings at the table or while cooking. Food labels tell you what you need to know about choosing foods that are lower in sodium. Try to eat no more than 2,300 milligrams of sodium a day. If you have high blood pressure, you may need to restrict your sodium intake even more.
                
Dietary Approaches to Stop Hypertension
                
Your doctor may recommend the Dietary Approaches to Stop Hypertension (DASH) eating plan if you have high blood pressure. The DASH eating plan focuses on fruits, vegetables, whole grains, and other foods that are heart healthy and low in fat, cholesterol, and sodium and salt.
                
The DASH eating plan is a good heart-healthy eating plan, even for those who dont have high blood pressure. Read more about DASH.
                
Alcohol
                
Try to limit alcohol intake. Too much alcohol will raise your blood pressure and triglyceride levels, a type of fat found in the blood. Alcohol also adds extra calories, which may cause weight gain.
                
Men should have no more than two drinks containing alcohol a day. Women should have no more than one drink containing alcohol a day. One drink is:
                
12 ounces of beer
                
5 ounces of wine
                
1 ounces of liquor
                
Maintaining a Healthy Weight
                
Maintaining a healthy weight is important for overall health and can lower your risk for coronary heart disease. Aim for a Healthy Weight by following a heart-healthy eating plan and keeping physically active.
                
Knowing your body mass index (BMI) helps you find out if youre a healthy weight in relation to your height and gives an estimate of your total body fat. To figure out your BMI, check out the National Heart, Lung, and Blood Institutes online BMI calculator or talk to your doctor. A BMI:
                
Below 18.5 is a sign that you are underweight.
                
Between 18.5 and 24.9 is in the normal range.
                
Between 25.0 and 29.9 is considered overweight.
                
A BMI of 30.0 or higher is considered obese.
                
A general goal to aim for is a BMI of less than 25. Your doctor or health care provider can help you set an appropriate BMI goal.
                
Measuring waist circumference helps screen for possible health risks. If most of your fat is around your waist rather than at your hips, youre at a higher risk for heart disease and type2 diabetes. This risk may be high with a waist size that is greater than 35 inches for women or greater than 40 inches for men. To learn how to measure your waist, visit Assessing Your Weight and Health Risk. For more information about losing weight or maintaining your weight, visit Aim for a Healthy Weight.
                
If youre overweight or obese, try to lose weight. A loss of just 3 percent to 5 percent of your current weight can lower your triglycerides, blood glucose, and the risk of developing type 2 diabetes. Greater amounts of weight loss can improve blood pressure readings, lower LDL cholesterol, and increase HDL cholesterol.
                
Managing Stress
                
Learning how to manage stress, relax, and cope with problems can improve your emotional and physical health. Consider healthy stress-reducing activities, such as:
                
A stress management program
                
Meditation
                
Physical activity
                
Relaxation therapy
                
Talking things out with friends or family
                
Physical Activity
                
Regular physical activity can lower many atherosclerosis risk factors, including LDL or bad cholesterol, high blood pressure, and excess weight. Physical activity also can lower your risk for diabetes and raise your HDL or good cholesterol, which helps prevent atherosclerosis.
                
Everyone should try to participate in moderate-intensity aerobic exercise at least 2 hours and 30 minutes per week or vigorous aerobic exercise for 1 hour and 15 minutes per week. Aerobic exercise, such as brisk walking, is any exercise in which your heart beats faster and you use more oxygen than usual. The more active you are, the more you will benefit. Participate in aerobic exercise for at least 10minutes at a time spread throughout the week.
                
Talk with your doctor before you start a new exercise plan. Ask your doctor how much and what kinds of physical activity are safe for you. Read more about physical activity at:
                
Physical Activity and Your Heart
                
U.S. Department of Health and Human Services, 2008 Physical Activity Guidelines for Americans
                
Quitting Smoking
                
If you smoke or use tobacco, quit. Smoking can damage and tighten blood vessels and raise your risk for atherosclerosis. Talk with your doctor about programs and products that can help you quit. Also, try to avoid secondhand smoke. If you have trouble quitting smoking on your own, consider joining a support group. Many hospitals, workplaces, and community groups offer classes to help people quit smoking.
                
For more information about how to quit smoking, visit Smoking and Your Heart.
                
Medicines
                
Sometimes lifestyle changes alone arent enough to control your cholesterol levels. For example, you also may need statin medications to control or lower your cholesterol. By lowering your blood cholesterol level, you can decrease your chance of having a heart attack or stroke. Doctors usually prescribe statins for people who have:
                
Coronary heart disease, peripheral artery disease, or had a prior stroke
                
Diabetes
                
High LDL cholesterol levels
                
Doctors may discuss beginning statin treatment with people who have an elevated risk for developing heart disease or having a stroke. Your doctor also may prescribe other medications to:
                
Lower your blood pressure
                
Lower your blood sugar levels
                
Prevent blood clots, which can lead to heart attack and stroke
                
Prevent inflammation
                
Take all medicines regularly, as your doctor prescribes. Dont change the amount of your medicine or skip a dose unless your doctor tells you to. You should still follow a heart healthy lifestyle, even if you take medicines to treat your atherosclerosis.
                
Medical Procedures and Surgery
                
If you have severe atherosclerosis, your doctor may recommend a medical procedure or surgery.
                
Percutaneous coronary intervention (PCI), also known as coronary angioplasty, is a procedure thats used to open blocked or narrowed coronary (heart) arteries. PCI can improve blood flow to the heart and relieve chest pain. Sometimes a small mesh tube called a stent is placed in the artery to keep it open after the procedure.
                
Coronary artery bypass grafting (CABG) is a type of surgery. In CABG, arteries or veins from other areas in your body are used to bypass or go around your narrowed coronary arteries. CABG can improve blood flow to your heart, relieve chest pain, and possibly prevent a heart attack.
                
Bypass grafting also can be used for leg arteries. For this surgery, a healthy blood vessel is used to bypass a narrowed or blocked artery in one of the legs. The healthy blood vessel redirects blood around the blocked artery, improving blood flow to the leg.
                
Carotid endarterectomy is a type of surgery to remove plaque buildup from the carotid arteries in the neck. This procedure restores blood flow to the brain, which can help prevent a stroke."
medquestions-500-0083,What are the symptoms of Hepatic venoocclusive disease with immunodeficiency ?,"What are the signs and symptoms of Hepatic venoocclusive disease with immunodeficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for Hepatic venoocclusive disease with immunodeficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the liver - Absence of lymph node germinal center - Autosomal recessive inheritance - Endocardial fibrosis - IgG deficiency - Immunodeficiency - Microcephaly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0084,What is (are) Male Breast Cancer ?,"Key Points
                    - Male breast cancer is a disease in which malignant (cancer) cells form in the tissues of the breast.    - Radiation exposure, high levels of estrogen, and a family history of breast cancer can increase a mans risk of breast cancer.     - Male breast cancer is sometimes caused by inherited gene mutations (changes).    - Men with breast cancer usually have lumps that can be felt.     - Tests that examine the breasts are used to detect (find) and diagnose breast cancer in men.    - If cancer is found, tests are done to study the cancer cells.    - Survival for men with breast cancer is similar to survival for women with breast cancer.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Male breast cancer is a disease in which malignant (cancer) cells form in the tissues of the breast.
                    Breast cancer may occur in men. Men at any age may develop breast cancer, but it is usually detected (found) in men between 60 and 70 years of age. Male breast cancer makes up less than 1% of all cases of breast cancer.   The following types of breast cancer are found in men:         -  Infiltrating ductal carcinoma: Cancer that has spread beyond the cells lining ducts in the breast. Most men with breast cancer have this type of cancer.    -  Ductal carcinoma in situ: Abnormal cells that are found in the lining of a duct; also called intraductal carcinoma.    -  Inflammatory breast cancer: A type of cancer in which the breast looks red and swollen and feels warm.     -  Paget disease of the nipple: A tumor that has grown from ducts beneath the nipple onto the surface of the nipple.          Lobular carcinoma in situ (abnormal cells found in one of the lobes or sections of the breast), which sometimes occurs in women, has not been seen in men.
                
                
                    Men with breast cancer usually have lumps that can be felt.
                    Lumps and other signs may be caused by male breast cancer or by other conditions. Check with your doctor if you notice a change in your breasts."
medquestions-500-0085,What are the treatments for Friedreich's Ataxia ?,"There is currently no effective cure or treatment for Friedreich's ataxia. However, many of the symptoms and accompanying complications can be treated to help individuals maintain optimal functioning as long as possible. Diabetes and heart problems can be treated with medications. Orthopedic problems such as foot deformities and scoliosis can be treated with braces or surgery. Physical therapy may prolong use of the arms and legs."
medquestions-500-0086,Who is at risk for Prostate Cancer? ?,"Different factors increase or decrease the risk of developing prostate cancer. Anything that increases a person's chance of developing a disease is called a risk factor. Anything that decreases your chance of getting a disease is called a protective factor.   For information about risk factors and protective factors for prostate cancer, see the PDQ summary on Prostate Cancer Prevention."
medquestions-500-0087,What to do for Urinary Tract Infections in Children ?,Children with a UTI should drink as much as they wish and not be forced to drink large amounts of fluid. The health care provider needs to know if a child is not interested in drinking or is unable to drink.
medquestions-500-0088,How to diagnose Varicose Veins ?,"Doctors often diagnose varicose veins based on a physical exam alone. Sometimes tests or procedures are used to find out the extent of the problem or to rule out other conditions.
                
Specialists Involved
                
If you have varicose veins, you may see a vascular medicine specialist or vascular surgeon. These doctors specialize in blood vessel conditions. You also may see a dermatologist. This type of doctor specializes in skin conditions.
                
Physical Exam
                
To check for varicose veins in your legs, your doctor will look at your legs while you're standing or sitting with your legs dangling. He or she may ask you about your signs and symptoms, including any pain you're having.
                
Diagnostic Tests and Procedures
                
Duplex Ultrasound
                
Your doctor may recommend duplex ultrasound to check blood flow in your veins and to look for blood clots. Duplex ultrasound combines traditional with Doppler ultrasound. Traditional ultrasound uses sound waves to create apicture of the structures in your body, in this case the blood vessels and anything that may be blocking the flow of blood. Doppler ultrasound uses sound waves to create pictures of the flow or movement of the blood through theveins. The two types of ultrasound together paint a picture that helps your doctor diagnose your condition.
                
During this test, a handheld device will be placed on your body and passed back and forth over the affected area. The device sends and receives sound waves. A computer will convert the sound waves into a picture of the blood flow in your arteries and veins.
                
Angiogram
                
Although it is not very common, your doctor may recommend an angiogram to get a more detailed look at the blood flow through your veins.
                
For this procedure, dye is injected into your veins. The dye outlines your veins on x-ray images.
                
An angiogram can help your doctor confirm whether you have varicose veins or another condition."
medquestions-500-0089,What is (are) Childhood Central Nervous System Embryonal Tumors ?,"Key Points 
                    - Central nervous system (CNS) embryonal tumors may begin in embryonic (fetal) cells that remain in the brain after birth.     - There are different types of CNS embryonal tumors.    - Pineoblastomas form in cells of the pineal gland.    - Certain genetic conditions increase the risk of childhood CNS embryonal tumors.    - Signs and symptoms of childhood CNS embryonal tumors or pineoblastomas depend on the child's age and where the tumor is.    - Tests that examine the brain and spinal cord are used to detect (find) childhood CNS embryonal tumors or pineoblastomas.     - A biopsy may be done to be sure of the diagnosis of CNS embryonal tumor or pineoblastoma.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Central nervous system (CNS) embryonal tumors may begin in embryonic (fetal) cells that remain in the brain after birth.
                    Central nervous system (CNS) embryonal tumors form in embryonic cells that remain in the brain after birth. CNS embryonal tumors tend to spread through the cerebrospinal fluid (CSF) to other parts of the brain and spinal cord.   The tumors may be malignant (cancer) or benign (not cancer). Most CNS embryonal tumors in children are malignant. Malignant brain tumors are likely to grow quickly and spread into other parts of the brain. When a tumor grows into or presses on an area of the brain, it may stop that part of the brain from working the way it should. Benign brain tumors grow and press on nearby areas of the brain. They rarely spread to other parts of the brain. Both benign and malignant brain tumors can cause signs or symptoms and need treatment.   Although cancer is rare in children, brain tumors are the third most common type of childhood cancer, after leukemia and lymphoma. This summary is about the treatment of primary brain tumors (tumors that begin in the brain). The treatment of metastatic brain tumors, which begin in other parts of the body and spread to the brain, is not discussed in this summary. For information about the different types of brain and spinal cord tumors, see the PDQ summary on Childhood Brain and Spinal Cord Tumors Treatment Overview.   Brain tumors occur in both children and adults. Treatment for adults may be different from treatment for children. See the PDQ summary on Adult Central Nervous System Tumors Treatment for more information on the treatment of adults.
                
                
                    There are different types of CNS embryonal tumors.
                    The different types of CNS embryonal tumors include:         -  Medulloblastomas  Most CNS embryonal tumors are medulloblastomas. Medulloblastomas are fast-growing tumors that form in brain cells in the cerebellum. The cerebellum is at the lower back part of the brain between the cerebrum and the brain stem. The cerebellum controls movement, balance, and posture. Medulloblastomas sometimes spread to the bone, bone marrow, lung, or other parts of the body, but this is rare.      -  Nonmedulloblastoma embryonal tumors  Nonmedulloblastoma embryonal tumors are fast-growing tumors that usually form in brain cells in the cerebrum. The cerebrum is at the top of the head and is the largest part of the brain. The cerebrum controls thinking, learning, problem-solving, emotions, speech, reading, writing, and voluntary movement. Nonmedulloblastoma embryonal tumors may also form in the brain stem or spinal cord.  There are four types of nonmedulloblastoma embryonal tumors:                  -  Embryonal tumors with multilayered rosettes  Embryonal tumors with multilayered rosettes (ETMR) are rare tumors that form in the brain and spinal cord. ETMR most commonly occur in young children and are fast-growing tumors.        -  Medulloepitheliomas  Medulloepitheliomas are fast-growing tumors that usually form in the brain, spinal cord or nerves just outside the spinal column. They occur most often in infants and young children.        -  CNS neuroblastomas  CNS neuroblastomas are a very rare type of neuroblastoma that form in the nerve tissue of the cerebrum or the layers of tissue that cover the brain and spinal cord. CNS neuroblastomas may be large and spread to other parts of the brain or spinal cord.        -  CNS ganglioneuroblastomas  CNS ganglioneuroblastomas are rare tumors that form in nerve tissue of the brain and spinal cord. They may form in one area and be fast growing or form in more than one area and be slow growing.                      Childhood CNS atypical teratoid/rhabdoid tumor is also a type of embryonal tumor, but it is treated differently than other childhood CNS embryonal tumors. See the PDQ summary on Childhood Central Nervous System Atypical Teratoid/Rhabdoid Tumor Treatment for more information.
                
                
                    Pineoblastomas form in cells of the pineal gland.
                    The pineal gland is a tiny organ in the center of the brain. The gland makes melatonin, a substance that helps control our sleep cycle.    Pineoblastomas form in cells of the pineal gland and are usually malignant. Pineoblastomas are fast-growing tumors with cells that look very different from normal pineal gland cells. Pineoblastomas are not a type of CNS embryonal tumor but treatment for them is a lot like treatment for CNS embryonal tumors.   Pineoblastoma is linked with inherited changes in the retinoblastoma (RB1) gene. A child with the inherited form of retinoblastoma (cancer than forms in the tissues of the retina) has an increased risk of pineoblastoma. When retinoblastoma forms at the same time as a tumor in or near the pineal gland, it is called trilateral retinoblastoma. MRI (magnetic resonance imaging) testing in children with retinoblastoma may detect pineoblastoma at an early stage when it can be treated successfully."
medquestions-500-0090,What is (are) laryngo-onycho-cutaneous syndrome ?,"Laryngo-onycho-cutaneous (LOC) syndrome is a disorder that leads to abnormalities of the voicebox (laryngo-), finger- and toenails (onycho-), and skin (cutaneous). Many of the condition's signs and symptoms are related to the abnormal growth of granulation tissue in different parts of the body. This red, bumpy tissue is normally produced during wound healing and is usually replaced by skin cells as healing continues. However, in people with LOC syndrome, this tissue grows even when there is no major injury.  One of the first symptoms in infants with LOC syndrome is a hoarse cry due to ulcers or overgrowth of granulation tissue in the voicebox (the larynx). Excess granulation tissue can also block the airways, leading to life-threatening breathing problems; as a result many affected individuals do not survive past childhood.  In LOC syndrome, granulation tissue also grows in the eyes, specifically the conjunctiva, which are the moist tissues that line the eyelids and the white part of the eyes. Affected individuals often have impairment or complete loss of vision due to the tissue overgrowth.  Another common feature of LOC syndrome is missing patches of skin (cutaneous erosions). The erosions heal slowly and may become infected. People with LOC syndrome can also have malformed nails and small, abnormal teeth. The hard, white material that forms the protective outer layer of each tooth (enamel) is thin, which contributes to frequent cavities.  LOC syndrome is typically considered a subtype of another skin condition called junctional epidermolysis bullosa, which is characterized by fragile skin that blisters easily. While individuals with junctional epidermolysis bullosa can have some of the features of LOC syndrome, they do not usually have overgrowth of granulation tissue in the conjunctiva."
medquestions-500-0091,What are the treatments for Mitochondrial genetic disorders ?,"How might mitochondrial genetic disorders be treated? Treatment for mitochondrial genetic disorders varies significantly based on the specific type of condition and the signs and symptoms present in each person. The primary aim of treatment is to alleviate symptoms and slow the progression of the condition. For example, a variety of vitamins and other supplements have been used to treat people affected by mitochondrial conditions with varying degrees of success. Other examples of possible interventions include medications to treat diabetes mellitus, surgery for cataracts, and cochlear implantation for hearing loss. For more general information about the treatment of mitochondrial genetic disorders, please visit GeneReviews."
medquestions-500-0092,What are the treatments for Cramp-fasciculation syndrome ?,"How might cramp-fasciculation syndrome be treated? There is limited information in the medical literature about the treatment of cramp-fasciculation syndrome (CFS). Much of what is available describes individual cases. Some people with CFS improve without treatment. Treatment with carbamazepine, gabapentin, or pregabalin (medications that reduce the hyper-excitability of nerves) was described as helpful in improving symptoms in individual cases. Immunosuppressive therapy (e.g., prednisone) has been used to treat cases of CFS that did not respond to other treatments. For severe cases, additional treatment options may be considered. Decisions regarding treatment should be carefully considered and discussed with a knowledgeable healthcare provider."
medquestions-500-0093,What are the treatments for SYNGAP1-related intellectual disability ?,"These resources address the diagnosis or management of SYNGAP1-related intellectual disability:  - Eunice Kennedy Shriver National Institute of Child Health and Human Development: What Are Treatments for Intellectual and Developmental Disabilities?  - Genetic Testing Registry: Mental retardation, autosomal dominant 5   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
medquestions-500-0094,Is hereditary leiomyomatosis and renal cell cancer inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder."
